group,supplemental_indices,experiment_type,target_info,pegRNAs
AAVS1-1651+1652_A1246c_B1314b,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1314b
AAVS1-1651+1652_A1246c_B1376a,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1246c;AAVS1_B1376a
AAVS1-1651+1652_A1267c_B1314b,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1314b
AAVS1-1651+1652_A1267c_B1376a,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1267c;AAVS1_B1376a
AAVS1-1651+1652_A1293a_B1314b,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1314b
AAVS1-1651+1652_A1293a_B1376a,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1293a;AAVS1_B1376a
AAVS1-1651+1652_A1307b_B1314a,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1314a
AAVS1-1651+1652_A1307b_B1376a,hg38,twin_prime,AAVS1-1651+1652,AAVS1_A1307b;AAVS1_B1376a
AAVS1-1653+1715_A1582c_B1640a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1582c;AAVS1_B1640a
AAVS1-1653+1715_A1582c_B1676a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1582c;AAVS1_B1676a
AAVS1-1653+1715_A1582c_B1701a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1582c;AAVS1_B1701a
AAVS1-1653+1715_A1582c_B1705b,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1582c;AAVS1_B1705b
AAVS1-1653+1715_A1615a_B1676a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1615a;AAVS1_B1676a
AAVS1-1653+1715_A1615a_B1701a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1615a;AAVS1_B1701a
AAVS1-1653+1715_A1615a_B1705b,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1615a;AAVS1_B1705b
AAVS1-1653+1715_A1615b_B1640a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1615b;AAVS1_B1640a
AAVS1-1653+1715_A1647b_B1676b,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1647b;AAVS1_B1676b
AAVS1-1653+1715_A1647b_B1701a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1647b;AAVS1_B1701a
AAVS1-1653+1715_A1647b_B1705a,hg38,twin_prime,AAVS1-1653+1715,AAVS1_A1647b;AAVS1_B1705a
AAVS1-1655+1656_A1810b_B1883b,hg38,twin_prime,AAVS1-1655+1656,AAVS1_A1810b;AAVS1_B1883b
AAVS1-1655+1656_A1810b_B1902a,hg38,twin_prime,AAVS1-1655+1656,AAVS1_A1810b;AAVS1_B1902a
AAVS1-1655+1656_A1890b_B1902a,hg38,twin_prime,AAVS1-1655+1656,AAVS1_A1890b;AAVS1_B1902a
AAVS1-1655+1656_A1890c_B1962c,hg38,twin_prime,AAVS1-1655+1656,AAVS1_A1890c;AAVS1_B1962c
AAVS1-1707+1710_A3786a_B3903b,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3786a;AAVS1_B3903b
AAVS1-1707+1710_A3786a_B3930a,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3786a;AAVS1_B3930a
AAVS1-1707+1710_A3786c_B3839c,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3786c;AAVS1_B3839c
AAVS1-1707+1710_A3835b_B3903b,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3835b;AAVS1_B3903b
AAVS1-1707+1710_A3835b_B3930b,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3835b;AAVS1_B3930b
AAVS1-1707+1710_A3856a_B3903b,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3856a;AAVS1_B3903b
AAVS1-1707+1710_A3856a_B3930a,hg38,twin_prime,AAVS1-1707+1710,AAVS1_A3856a;AAVS1_B3930a
AAVS1-1717+1713_A1077b_B1154b,hg38,twin_prime,AAVS1-1717+1713,AAVS1_A1077b;AAVS1_B1154b
AAVS1-1717+1713_A1098a_B1154a,hg38,twin_prime,AAVS1-1717+1713,AAVS1_A1098a;AAVS1_B1154a
